ID,LOCATION,ACCOMODATION TYPE,FLOOR,ROOM SIZE,BUILDING AGE,DISTANCE FROM SCHOOL,DISTANCE FROM MARKET,TRANSPORT ACCESSIBILITY,WATER SOURCE,LOCATION OF WATER SOURCE,ELECTRICITY RELIABILITY,TOILET TYPE,TOILET LOCATION,GATE?,SECURITY GUARD?,FENCE?,SECURITY?,ENVIRONMENTAL CLEANING,VIBEZ OF ENVIRONMENT,YEARLY RENT,RULES AND REGULATION
1,Odenigwe,Single room,First Floor,Small,<5 years,<5 min,>30 min,Moderately accessible,Public tap outside compound,5-15 min,Moderately reliable,Water Closet,En-suite,No,No,No,Average,No cleaning,Quiet,170000,Not Strict
2,Behind Flat,Self-con,Second Floor,Medium,<5 years,15-30 min,15-30 min,Moderately accessible,Borehole outside compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Neutral,250000,Moderately Strict
3,Hilltop,Self-con,First Floor,Large,>20 years,>30 min,15-30 min,Very accessible,Private tap/tank in compound,Within compound,Moderately reliable,Semi-Water Closet,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Vibrant,150000,Not Strict
4,Odenigwe,Self-con,Ground floor,Medium,10-20 years,15-30 min,>30 min,Not accessible,Public tap outside compound,5-15 min,Very reliable,Water Closet,Shared,Yes,No,Yes,Average,Tenants,Very Quiet,20000,Very Strict
5,Odim,Self-con,Ground floor,Small,10-20 years,5-15 min,>30 min,Very accessible,Public tap outside compound,5-15 min,Moderately reliable,Water Closet,Shared,Yes,No,Yes,Very Secure,Tenants,Very Quiet,100000,Very Strict
6,Hilltop,Self-con,Second Floor,Medium,<5 years,5-15 min,15-30 min,Very accessible,Borehole outside compound,Within compound,Very reliable,Water Closet,En-suite,Yes,Yes,Yes,Average,Caretaker/Cleaner,Very Vibrant,250000,Moderately Strict
7,Odim,Flat,Second Floor,Very Large,<5 years,15-30 min,<5 min,Very accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,Yes,Yes,Very Secure,Caretaker/Cleaner,Neutral,1000000,Moderately Strict
8,Hilltop,Self-con,Third Floor,Medium,<5 years,15-30 min,5-15 min,Very accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,Yes,Yes,Secure,Caretaker/Cleaner,Neutral,240000,Moderately Strict
9,Onuiyi,Flat,Ground floor,Small,<5 years,>30 min,>30 min,Very accessible,Government water,>30 min,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Very Quiet,400000,Not Strict
10,Odim,Single room,Ground floor,Medium,10-20 years,5-15 min,5-15 min,Moderately accessible,Private tap/tank in compound,Within compound,Unreliable,Water Closet,Shared,No,No,No,Average,Caretaker/Cleaner,Very Quiet,250000,Moderately Strict
11,Odim,Self-con,Second Floor,Medium,<5 years,<5 min,<5 min,Not very accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Very Secure,Caretaker/Cleaner,Quiet,280000,No rules
12,Vet Mountain,Self-con,Ground floor,Medium,10-20 years,>30 min,>30 min,Not very accessible,Public tap outside compound,5-15 min,Unreliable,Water Closet,En-suite,Yes,No,Yes,Average,No cleaning,Quiet,150000,No rules
13,Odim,Self-con,First Floor,Medium,<5 years,15-30 min,<5 min,Not very accessible,In the unit,Within compound,Unreliable,Water Closet,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Neutral,200000,Not Strict
14,Behind Flat,Self-con,First Floor,Medium,10-20 years,5-15 min,5-15 min,Very accessible,Private tap/tank in compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Tenants,Quiet,130000,Moderately Strict
15,Odenigwe,Self-con,Second Floor,Medium,<5 years,>30 min,5-15 min,Very accessible,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,Yes,Yes,Secure,Caretaker/Cleaner,Neutral,300000,Moderately Strict
16,Odim,Self-con,Second Floor,Large,<5 years,<5 min,>30 min,Moderately accessible,Borehole outside compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,Yes,Yes,Secure,Caretaker/Cleaner,Quiet,350000,Strict
17,Odim,Flat,Third Floor,Medium,10-20 years,5-15 min,5-15 min,Moderately accessible,Private tap/tank in compound,Within compound,Unreliable,Water Closet,En-suite,Yes,Yes,Yes,Average,Tenants,Neutral,350000,Moderately Strict
18,Odenigwe,Self-con,Third Floor,Medium,10-20 years,5-15 min,5-15 min,Moderately accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,Yes,Yes,Average,No cleaning,Vibrant,210000,Not Strict
19,Odim,Self-con,Ground floor,Medium,<5 years,15-30 min,>30 min,Not very accessible,Borehole outside compound,5-15 min,Moderately reliable,Semi-Water Closet,En-suite,No,No,No,Average,No cleaning,Quiet,120000,Not Strict
20,Hilltop,Self-con,First Floor,Small,<5 years,15-30 min,>30 min,Not very accessible,Borehole outside compound,15-30 min,Moderately reliable,Semi-Water Closet,En-suite,No,No,No,Insecure,Tenants,Neutral,150000,Not Strict
21,Hilltop,Self-con,First Floor,Large,<5 years,15-30 min,>30 min,Moderately accessible,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,Yes,Yes,Secure,Caretaker/Cleaner,Neutral,300000,Moderately Strict
22,Hilltop,Self-con,Third Floor,Medium,<5 years,5-15 min,>30 min,Not very accessible,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Neutral,250000,Strict
23,Odim,Single room,Ground floor,Small,10-20 years,15-30 min,<5 min,Moderately accessible,Borehole outside compound,5-15 min,Unreliable,Pit Latrine,Shared,Yes,No,Yes,Average,Tenants,Quiet,100000,Not Strict
24,Vet Mountain,Self-con,First Floor,Medium,<5 years,15-30 min,>30 min,Not very accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Average,Caretaker/Cleaner,Neutral,150000,Not Strict
25,Greenhouse,Self-con,First Floor,Large,10-20 years,<5 min,5-15 min,Very accessible,In the unit,Within compound,No Light,Water Closet,En-suite,Yes,Yes,Yes,Very Secure,Caretaker/Cleaner,Very Vibrant,180000,Strict
26,Odim,Self-con,Ground floor,Medium,10-20 years,<5 min,5-15 min,Not accessible,Public tap outside compound,5-15 min,Very reliable,Pit Latrine,En-suite,Yes,No,Yes,Average,Tenants,Quiet,200000,No rules
27,Odim,Self-con,Bungalow ,Medium,<5 years,5-15 min,>30 min,Not very accessible,Borehole outside compound,Within compound,Unreliable,Semi-Water Closet,En-suite,Yes,No,No,Average,Tenants,Quiet,120000,Not Strict
28,Hilltop,Self-con,Ground floor,Medium,<5 years,5-15 min,>30 min,Moderately accessible,Public tap outside compound,Within compound,No Light,Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Very Vibrant,170000,Moderately Strict
29,Hilltop,Self-con,First Floor,Medium,10-20 years,5-15 min,15-30 min,Very accessible,Public tap outside compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,Yes,Yes,Very Secure,Tenants,Quiet,100000,Very Strict
30,Odim,Self-con,Ground floor,Medium,10-20 years,<5 min,5-15 min,Not accessible,Public tap outside compound,5-15 min,Moderately reliable,Pit Latrine,En-suite,Yes,No,Yes,Average,Tenants,Neutral,200000,No rules
31,Odenigwe,Self-con,First Floor,Medium,10-20 years,15-30 min,>30 min,Not very accessible,People selling water ,5-15 min,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Average,No cleaning,Neutral,150000,Strict
32,Hilltop,Self-con,First Floor,Small,10-20 years,15-30 min,>30 min,Not very accessible,Private tap/tank in compound,5-15 min,Unreliable,Semi-Water Closet,En-suite,No,No,No,Insecure,Tenants,Neutral,150000,Not Strict
33,Behind Flat,Self-con,Ground floor,Medium,10-20 years,5-15 min,15-30 min,Very accessible,Private tap/tank in compound,Within compound,Unreliable,Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,200000,Moderately Strict
34,Vet Mountain,Self-con,Ground floor,Small,<5 years,<5 min,15-30 min,Not very accessible,Private tap/tank in compound,5-15 min,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Very Secure,Caretaker/Cleaner,Quiet,160000,Not Strict
35,Odim,Single room,Ground floor,Medium,>20 years,15-30 min,>30 min,Very accessible,Borehole outside compound,5-15 min,Moderately reliable,Pit Latrine,Shared,Yes,Yes,Yes,Average,Tenants,Neutral,50000,Not Strict
36,Odim,Single room,Ground floor,Very Small,<5 years,5-15 min,5-15 min,Not very accessible,Borehole outside compound,5-15 min,Unreliable,Semi-Water Closet,Shared,Yes,No,Yes,Average,Tenants,Quiet,300000,Moderately Strict
37,Odenigwe,Single room,First Floor,Medium,<5 years,5-15 min,5-15 min,Not accessible,Private tap/tank in compound,Within compound,Moderately reliable,Water Closet,En-suite,No,No,No,Average,Caretaker/Cleaner,Neutral,160000,No rules
38,Odenigwe,Single room,Ground floor,Medium,>20 years,5-15 min,15-30 min,Moderately accessible,Borehole outside compound,5-15 min,Very reliable,Semi-Water Closet,Shared,No,Sometimes,No,Average,Tenants,Very Quiet,60000,Moderately Strict
39,Odenigwe,Self-con,First Floor,Medium,10-20 years,5-15 min,5-15 min,Moderately accessible,Borehole outside compound,5-15 min,Very reliable,Water Closet,En-suite,Yes,No,Yes,Average,No cleaning,Neutral,200000,Not Strict
40,Hilltop,Self-con,Ground floor,Large,10-20 years,15-30 min,15-30 min,Moderately accessible,Borehole outside compound,5-15 min,No Light,Pit Latrine,En-suite,No,No,No,Insecure,No cleaning,Very Quiet,120000,No rules
41,Odim,Self-con,Ground floor,Medium,10-20 years,<5 min,<5 min,Very accessible,Borehole outside compound,5-15 min,Very reliable,Pit Latrine,En-suite,No,No,No,Very Secure,Caretaker/Cleaner,Very Quiet,150000,No rules
42,Odim,Self-con,Ground floor,Large,10-20 years,<5 min,<5 min,Very accessible,Public tap outside compound,5-15 min,Unreliable,Pit Latrine,En-suite,No,No,Yes,Average,Tenants,Quiet,150000,No rules
43,Odim,Self-con,Ground floor,Medium,<5 years,<5 min,<5 min,Very accessible,Public tap outside compound,Within compound,Very reliable,Semi-Water Closet,En-suite,Yes,No,Yes,Very Secure,Tenants,Very Vibrant,150000,Moderately Strict
44,Odim,Self-con,Ground floor,Medium,10-20 years,5-15 min,5-15 min,Not very accessible,Borehole outside compound,Within compound,Very unreliable,Water Closet,En-suite,Yes,No,Yes,Very Secure,Caretaker/Cleaner,Neutral,180000,Not Strict
45,Odim,Single room,Ground floor,Medium,10-20 years,<5 min,<5 min,Very accessible,Borehole outside compound,Within compound,Very reliable,Semi-Water Closet,Shared,No,No,No,Average,Tenants,Very Quiet,65000,Very Strict
46,Odim,Single room,Ground floor,Medium,<5 years,5-15 min,5-15 min,Very accessible,Public tap outside compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Average,Caretaker/Cleaner,Vibrant,170000,No rules
47,Odim,Self-con,Ground floor,Medium,<5 years,5-15 min,5-15 min,Very accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Average,Caretaker/Cleaner,Vibrant,170000,No rules
48,Odim,Self-con,Ground floor,Medium,10-20 years,15-30 min,5-15 min,Not accessible,Borehole outside compound,Within compound,Very reliable,Semi-Water Closet,En-suite,No,No,No,Very Secure,Tenants,Neutral,150000,No rules
49,Odenigwe,Single room,Ground floor,Small,<5 years,15-30 min,5-15 min,Moderately accessible,Private tap/tank in compound,Within compound,Very reliable,Semi-Water Closet,Outside,Yes,No,Yes,Very Secure,Tenants,Quiet,50000,Moderately Strict
50,Odim,Self-con,First Floor,Medium,<5 years,<5 min,15-30 min,Moderately accessible,Public tap outside compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Very Secure,No cleaning,Neutral,200000,Not Strict
51,Odim,Single room,Ground floor,Small,10-20 years,>30 min,15-30 min,Not very accessible,Borehole outside compound,Within compound,Moderately reliable,Semi-Water Closet,Shared,No,No,Yes,Secure,Tenants,Neutral,100000,Moderately Strict
52,Odim,Single room,Ground floor,Large,>20 years,15-30 min,<5 min,Not accessible,Borehole outside compound,Within compound,Moderately reliable,Water Closet,Shared,No,No,No,Very Secure,Tenants,Quiet,90000,Moderately Strict
53,Odim,Flat,Ground floor,Medium,<5 years,5-15 min,5-15 min,Not accessible,Borehole outside compound,Within compound,Moderately reliable,Water Closet,En-suite,No,No,No,Very Secure,Tenants,Quiet,300000,Not Strict
54,Odim,Single room,Ground floor,Medium,<5 years,5-15 min,5-15 min,Not accessible,Borehole outside compound,Within compound,Very reliable,Semi-Water Closet,Shared,No,No,No,Very Secure,Tenants,Very Quiet,80000,No rules
55,Odim,Single room,Ground floor,Medium,10-20 years,5-15 min,5-15 min,Very accessible,Borehole outside compound,Within compound,Moderately reliable,Water Closet,Shared,No,No,No,Very Secure,Tenants,Quiet,80000,Not Strict
56,Odim,Single room,Ground floor,Medium,<5 years,5-15 min,5-15 min,Not accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,No,Very Secure,Caretaker/Cleaner,Quiet,170000,No rules
57,Odim,Flat,Ground floor,Large,<5 years,5-15 min,5-15 min,Not accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,Yes,Yes,Very Secure,Tenants,Quiet,600000,No rules
58,Odim,Single room,Ground floor,Medium,10-20 years,5-15 min,<5 min,Not accessible,Public tap outside compound,Within compound,Very reliable,Semi-Water Closet,Shared,No,No,No,Very Secure,Tenants,Quiet,70000,Moderately Strict
59,Odim,Self-con,Ground floor,Medium,<5 years,>30 min,<5 min,Very accessible,Borehole outside compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Quiet,150000,Not Strict
60,Hilltop,Self-con,First Floor,Medium,10-20 years,15-30 min,>30 min,Moderately accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,Yes,Yes,Secure,Caretaker/Cleaner,Quiet,250000,Strict
61,Odim,Single room,Ground floor,Small,10-20 years,>30 min,>30 min,Not accessible,Borehole outside compound,5-15 min,Moderately reliable,Pit Latrine,Shared,Yes,No,Yes,Insecure,Tenants,Very Vibrant,70000,No rules
62,Odim,Self-con,Ground floor,Medium,<5 years,5-15 min,<5 min,Not accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,No,No,No,Secure,Tenants,Neutral,160000,Not Strict
63,Odenigwe,Self-con,First Floor,Medium,<5 years,<5 min,<5 min,Not accessible,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,Yes,Yes,Very Secure,Caretaker/Cleaner,Neutral,200000,No rules
64,Behind Flat,Flat,Second Floor,Medium,<5 years,15-30 min,15-30 min,Very accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Neutral,370000,Moderately Strict
65,Behind Flat,Self-con,Ground floor,Medium,<5 years,5-15 min,5-15 min,Not accessible,Public tap outside compound,Within compound,Very reliable,Semi-Water Closet,En-suite,No,No,No,Average,Caretaker/Cleaner,Very Quiet,200000,No rules
66,Odenigwe,Self-con,Third Floor,Medium,10-20 years,>30 min,>30 min,Moderately accessible,Public tap outside compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Vibrant,140000,Moderately Strict
67,Behind Flat,Self-con,First Floor,Medium,10-20 years,>30 min,>30 min,Moderately accessible,Public tap outside compound,5-15 min,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Secure,No cleaning,Vibrant,180000,Moderately Strict
68,Odenigwe,Self-con,Second Floor,Medium,<5 years,5-15 min,15-30 min,Moderately accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Neutral,180000,Moderately Strict
69,Greenhouse,Self-con,Ground floor,Small,10-20 years,15-30 min,>30 min,Moderately accessible,Private tap/tank in compound,Within compound,Moderately reliable,Pit Latrine,Shared,Yes,No,Yes,Average,Tenants,Neutral,100000,Not Strict
70,Odim,Self-con,Second Floor,Medium,<5 years,5-15 min,5-15 min,Moderately accessible,In the unit,5-15 min,Moderately reliable,Water Closet,En-suite,Yes,Yes,Yes,Average,Tenants,Neutral,240000,Moderately Strict
